ngay;nhietdocaonhat;nhietdothapnhat;nhietdotrungbinh;doamcaonhat;doamthapnhat;doamtrungbinh;giolonnhat;giothapnhat;giotrungbinh;huonggiotheodo;bucxamattroi;mua;luongmua
293;3.211.665;2.483.665;27.869.982;95.404.045;68.106;845.938;7.127.636;0.71999997;42.360.606;3.730.394;5007;1;1.2
294;3.146.665;25.016.651;28.003.733;9.689.931;6.719.692;8.399.092;90.645.685;0;5.424.288;28.941.547;5595;1;0.1
295;3.233.665;2.510.665;28.161.234;9.466.219;6.409.783;8.114.374;11.177.405;0.35999998;52.845.974;20.799.991;5015;1;0.90000004
296;32.466.652;2.537.665;28.348.318;9.233.751;6.747.899;83.078.384;10.514.218;0.35999998;4.622.583;18.989.392;5281;1;0.6
297;3.286.665;2.514.665;28.057.486;94.095.726;6.621.679;8.213.205;8.209.263;15.273.507;4.979.577;14.212.502;5439;1;0.4
298;3.131.665;2.510.665;27.972.898;9.188.202;6.458.543;804.452;99.571.085;22.768.397;56.691.604;13.706.955;5594;0;0
299;3.290.665;2.539.665;28.656.237;9.512.219;6.228.239;80.391.495;69.153.743;0.71999997;4.055.634;8.009.581;5945;1;0.1
300;3.208.665;2.528.665;28.018.736;96.493.774;6.610.577;8.481.443;58.048.253;10.182.338;33.645.384;33.204.904;6057;1;4.2
301;3.220.665;2.450.665;27.727.484;957.442;678.001;8.497.503;1.024.578;0.71999997;4.991.844;307.725;5221;1;5.1
302;3.259.665;2.418.665;28.098.318;97.587.776;5.445.334;788.623;11.923.557;38.939.953;7.845.263;35.631.775;5768;1;0.1
303;3.096.665;2.549.665;28.234.983;9.490.581;57.722.214;7.657.816;15.124.284;29.024.127;8.369.334;32.926.114;5327;1;0.1
304;28.596.651;2.414.665;26.759.153;8.649.987;63.014.214;7.493.298;13.32;29.024.127;9.176.033;28.874.878;2890;0;0
305;30.766.651;2.319.665;26.565.819;9.190.511;6.790.653;8.287.056;10.495.713;24.149.535;6.087.929;15.262.491;4879;1;18.000.001
306;2.975.665;2.460.665;2.671.623;9.557.055;7.113.373;8.657.726;9.107.359;0.5091169;4.495.717;12.065.777;3949;1;10.400.001
307;29.596.651;2.407.665;26.205.399;9.688.771;7.187.909;8.753.608;9;1.835.647;59.061.007;33.456.165;3419;1;9.800.001
308;3.047.665;2.382.665;26.958.315;9.682.814;6.302.628;8.261.387;10.365.251;43.498.964;7.520.325;32.837.567;3967;1;0.2
309;32.056.652;2.436.665;2.800.415;9.486.715;53.461.384;7.779.154;8.854.829;22.768.397;5.398.289;7.292.053;5801;1;0.1
310;3.068.665;2.346.665;26.552.485;9.681.548;6.563.471;870.401;9.504.273;12.979.984;437.741;13.748.955;4109;1;14.599.999
311;3.049.665;2.388.665;2.626.623;9.776.372;6.780.518;8.564.622;1.030.883;0.35999998;52.239.795;100.060.684;4309;1;33.000.002
